NCBI gene (formerly Entrezgene) ID,Gene name,Gene description,Gene stable ID
119875989,OR6Z1,olfactory receptor family 6 subfamily Z member 1 [Source:NCBI gene (formerly Entrezgene);Acc:106558949],ENSCAFG00845000070
106558949,OR6Z1,olfactory receptor family 6 subfamily Z member 1 [Source:NCBI gene (formerly Entrezgene);Acc:106558949],ENSCAFG00845000070
,,,ENSCAFG00845000071
119869890,U6,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],ENSCAFG00845000072
483925,NFATC1,nuclear factor of activated T cells 1 [Source:UniProtKB Gene Name;Acc:A0A8I3MH32],ENSCAFG00845000073
102154754,OR6Z3,,ENSCAFG00845000074
,U2,U2 spliceosomal RNA [Source:RFAM;Acc:RF00004],ENSCAFG00845000075
102154839,OR6Z2,,ENSCAFG00845000076
612005,MYCT1,MYC target 1 [Source:UniProtKB Gene Name;Acc:A0A8I3MH04],ENSCAFG00845000077
611184,ZNF428,zinc finger protein 428 [Source:UniProtKB Gene Name;Acc:A0A8I3MBA4],ENSCAFG00845000078
,SNORA70,Small nucleolar RNA SNORA70 [Source:RFAM;Acc:RF00156],ENSCAFG00845000079
,,,ENSCAFG00845000080
,,,ENSCAFG00845000081
119875989,OR6Z1,olfactory receptor family 6 subfamily Z member 1 [Source:NCBI gene (formerly Entrezgene);Acc:106558949],ENSCAFG00845000082
106558949,OR6Z1,olfactory receptor family 6 subfamily Z member 1 [Source:NCBI gene (formerly Entrezgene);Acc:106558949],ENSCAFG00845000082
,,,ENSCAFG00845000083
,SRRM5,serine/arginine repetitive matrix 5 [Source:UniProtKB Gene Name;Acc:A0A8I3MH14],ENSCAFG00845000084
484038,VIP,vasoactive intestinal peptide [Source:UniProtKB Gene Name;Acc:A0A8C0Z0H7],ENSCAFG00845000085
484595,KCTD15,potassium channel tetramerization domain containing 15 [Source:UniProtKB Gene Name;Acc:A0A8I3MBC7],ENSCAFG00845000086
,,,ENSCAFG00845000087
484467,ZNF576,zinc finger protein 576 [Source:UniProtKB Gene Name;Acc:A0A8C0LRZ2],ENSCAFG00845000088
484115,HEY2,hes related family bHLH transcription factor with YRPW motif 2 [Source:UniProtKB Gene Name;Acc:A0A8C0Q180],ENSCAFG00845000089
610302,DKKL1,dickkopf like acrosomal protein 1 [Source:UniProtKB Gene Name;Acc:A0A8C0Z1E6],ENSCAFG00845000090
,,,ENSCAFG00845000091
484216,IARS1,isoleucyl-tRNA synthetase 1 [Source:UniProtKB Gene Name;Acc:A0A8I3M9Y6],ENSCAFG00845000092
,U6,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],ENSCAFG00845000093
,,,ENSCAFG00845000094
,,,ENSCAFG00845000095
,,,ENSCAFG00845000096
612411,IRGQ,immunity related GTPase Q [Source:UniProtKB Gene Name;Acc:A0A8C0SIP4],ENSCAFG00845000097
484596,CHST8,carbohydrate sulfotransferase 8 [Source:UniProtKB Gene Name;Acc:A0A8I3MJR4],ENSCAFG00845000098
608739,C9orf85,chromosome 9 open reading frame 85 [Source:HGNC Symbol;Acc:HGNC:28784],ENSCAFG00845000099
,,,ENSCAFG00845000100
102156834,ZNF835,zinc finger protein 835 [Source:UniProtKB Gene Name;Acc:A0A8I3MEU7],ENSCAFG00845000101
,,,ENSCAFG00845000102
102153530,,,ENSCAFG00845000103
612020,FBXO5,F-box protein 5 [Source:UniProtKB Gene Name;Acc:A0A8I3MUM1],ENSCAFG00845000104
,,,ENSCAFG00845000105
,,,ENSCAFG00845000106
100687301,SMIM17,small integral membrane protein 17 [Source:UniProtKB Gene Name;Acc:A0A8C0QNP4],ENSCAFG00845000107
484468,PINLYP,phospholipase A2 inhibitor and LY6/PLAUR domain containing [Source:UniProtKB Gene Name;Acc:A0A8I3MBG0],ENSCAFG00845000108
,,,ENSCAFG00845000109
,,,ENSCAFG00845000110
484381,TEAD2,TEA domain transcription factor 2 [Source:UniProtKB Gene Name;Acc:A0A8I3MA00],ENSCAFG00845000111
,,,ENSCAFG00845000112
102152692,ZNF529,zinc finger protein 529 [Source:UniProtKB Gene Name;Acc:A0A8I3MJS5],ENSCAFG00845000113
,,,ENSCAFG00845000114
,,,ENSCAFG00845000115
,,,ENSCAFG00845000116
102154915,,,ENSCAFG00845000117
,,,ENSCAFG00845000118
,,,ENSCAFG00845000119
484040,MTRF1L,mitochondrial translation release factor 1 like [Source:UniProtKB Gene Name;Acc:A0A8C0SYE5],ENSCAFG00845000120
,,,ENSCAFG00845000121
119869926,,,ENSCAFG00845000122
484170,ABHD17B,"abhydrolase domain containing 17B, depalmitoylase [Source:UniProtKB Gene Name;Acc:A0A8P0PJX0]",ENSCAFG00845000123
104795023,MIR8890,microRNA mir-8890 [Source:NCBI gene (formerly Entrezgene);Acc:104795023],ENSCAFG00845000124
,,,ENSCAFG00845000125
106557469,ZNF382,zinc finger protein 382 [Source:UniProtKB Gene Name;Acc:A0A8C0MRG1],ENSCAFG00845000126
119869944,U4,U4 spliceosomal RNA [Source:RFAM;Acc:RF00015],ENSCAFG00845000127
476493,PEPD,peptidase D [Source:UniProtKB Gene Name;Acc:A0A8C0Q4P1],ENSCAFG00845000128
483959,CDH20,cadherin 20 [Source:NCBI gene (formerly Entrezgene);Acc:483959],ENSCAFG00845000129
487153,ADARB2,adenosine deaminase RNA specific B2 (inactive) [Source:VGNC Symbol;Acc:VGNC:111329],ENSCAFG00845000130
119869857,U6,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],ENSCAFG00845000131
,,,ENSCAFG00845000132
484217,ZNF484,zinc finger protein 484 [Source:UniProtKB Gene Name;Acc:A0A8I3MJT7],ENSCAFG00845000133
483926,ATP9B,ATPase phospholipid transporting 9B (putative) [Source:UniProtKB Gene Name;Acc:A0A8C0PW33],ENSCAFG00845000134
476447,XRCC1,X-ray repair cross complementing 1 [Source:NCBI gene (formerly Entrezgene);Acc:476447],ENSCAFG00845000135
,,,ENSCAFG00845000136
,,,ENSCAFG00845000137
611144,ZNF71,zinc finger protein 71 [Source:UniProtKB Gene Name;Acc:A0A8C0M2R2],ENSCAFG00845000138
608859,ZNF71,zinc finger protein 71 [Source:UniProtKB Gene Name;Acc:A0A8C0M2R2],ENSCAFG00845000138
476283,NCOA7,nuclear receptor coactivator 7 [Source:UniProtKB Gene Name;Acc:A0A8I3MBN7],ENSCAFG00845000139
,,,ENSCAFG00845000140
608867,RGS17,regulator of G protein signaling 17 [Source:UniProtKB Gene Name;Acc:A0A8I3MJU8],ENSCAFG00845000141
,,,ENSCAFG00845000142
484382,CD37,CD37 molecule [Source:UniProtKB Gene Name;Acc:A0A8I3RNY2],ENSCAFG00845000143
,,,ENSCAFG00845000144
476363,MFSD14B,major facilitator superfamily domain containing 14B [Source:UniProtKB Gene Name;Acc:A0A8C0LTI5],ENSCAFG00845000145
,,,ENSCAFG00845000146
,,,ENSCAFG00845000147
,,,ENSCAFG00845000148
,,,ENSCAFG00845000149
487269,AMFR,autocrine motility factor receptor [Source:UniProtKB Gene Name;Acc:A0A8I3RQN1],ENSCAFG00845000150
,,,ENSCAFG00845000151
100686458,CEBPG,CCAAT enhancer binding protein gamma [Source:UniProtKB Gene Name;Acc:A0A8I3MUM9],ENSCAFG00845000152
,,,ENSCAFG00845000153
478003,OPTN,optineurin [Source:UniProtKB Gene Name;Acc:A0A8P0N7L1],ENSCAFG00845000154
,,,ENSCAFG00845000155
,,,ENSCAFG00845000156
100687631,ZNF461,zinc finger protein 461 [Source:UniProtKB Gene Name;Acc:A0A8I3MUN1],ENSCAFG00845000157
,,,ENSCAFG00845000158
,,,ENSCAFG00845000159
484041,OPRM1,opioid receptor mu 1 [Source:VGNC Symbol;Acc:VGNC:110521],ENSCAFG00845000160
119870585,U4,U4 spliceosomal RNA [Source:RFAM;Acc:RF00015],ENSCAFG00845000161
611144,ZNF470,zinc finger protein 470 [Source:UniProtKB Gene Name;Acc:A0A8I3MJW4],ENSCAFG00845000162
,,,ENSCAFG00845000163
,,,ENSCAFG00845000164
484171,CEMIP2,cell migration inducing hyaluronidase 2 [Source:UniProtKB Gene Name;Acc:A0A8I3MJX3],ENSCAFG00845000165
607593,CCDC3,coiled-coil domain containing 3 [Source:UniProtKB Gene Name;Acc:A0A8I3MA45],ENSCAFG00845000166
484469,ZNF575,zinc finger protein 575 [Source:UniProtKB Gene Name;Acc:A0A8C0SL71],ENSCAFG00845000167
484599,SLC7A10,solute carrier family 7 member 10 [Source:UniProtKB Gene Name;Acc:A0A8C0LTZ3],ENSCAFG00845000168
,,,ENSCAFG00845000169
,,,ENSCAFG00845000170
,,,ENSCAFG00845000171
,,,ENSCAFG00845000172
119869872,U6,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],ENSCAFG00845000173
,,,ENSCAFG00845000174
102152269,ZNF567,zinc finger protein 567 [Source:UniProtKB Gene Name;Acc:A0A8I3MFI8],ENSCAFG00845000175
,,,ENSCAFG00845000176
478193,KDM1A,lysine demethylase 1A [Source:UniProtKB Gene Name;Acc:A0A8C0PWR1],ENSCAFG00845000177
611144,ZFP28,ZFP28 zinc finger protein [Source:UniProtKB Gene Name;Acc:A0A8I3MUN4],ENSCAFG00845000178
,,,ENSCAFG00845000179
100856086,,,ENSCAFG00845000180
484385,TRPM4,transient receptor potential cation channel subfamily M member 4 [Source:UniProtKB Gene Name;Acc:A0A8C0NUY5],ENSCAFG00845000181
,,,ENSCAFG00845000182
,,,ENSCAFG00845000183
,,,ENSCAFG00845000184
,,,ENSCAFG00845000185
,,,ENSCAFG00845000186
484220,MZF1,myeloid zinc finger 1 [Source:UniProtKB Gene Name;Acc:A0A8I3MA51],ENSCAFG00845000187
,,,ENSCAFG00845000188
119875988,,,ENSCAFG00845000189
119863933,,,ENSCAFG00845000189
,,,ENSCAFG00845000190
607126,SALL3,spalt like transcription factor 3 [Source:UniProtKB Gene Name;Acc:A0A8C0M797],ENSCAFG00845000191
,,,ENSCAFG00845000192
478091,MCCC2,methylcrotonyl-CoA carboxylase subunit 2 [Source:UniProtKB Gene Name;Acc:A0A8C0M6Y4],ENSCAFG00845000193
607636,CAMK1D,calcium/calmodulin dependent protein kinase ID [Source:UniProtKB Gene Name;Acc:A0A8C0PZT9],ENSCAFG00845000194
484600,LRP3,LDL receptor related protein 3 [Source:UniProtKB Gene Name;Acc:A0A8I3RNZ2],ENSCAFG00845000195
,,,ENSCAFG00845000196
,,,ENSCAFG00845000197
,,,ENSCAFG00845000198
,,,ENSCAFG00845000199
484221,UBE2M,ubiquitin conjugating enzyme E2 M [Source:UniProtKB Gene Name;Acc:A0A8I3MA68],ENSCAFG00845000200
,,,ENSCAFG00845000201
119870576,RNU6ATAC39P,"RNA, U6atac small nuclear 39, pseudogene [Source:HGNC Symbol;Acc:HGNC:46938]",ENSCAFG00845000202
484383,SLC6A16,solute carrier family 6 member 16 [Source:UniProtKB Gene Name;Acc:A0A8I3MFK9],ENSCAFG00845000203
102152132,ZNF146,zinc finger protein 146 [Source:UniProtKB Gene Name;Acc:A0A8I3MA66],ENSCAFG00845000204
484042,CNKSR3,CNKSR family member 3 [Source:UniProtKB Gene Name;Acc:A0A8C0SXL6],ENSCAFG00845000205
106557456,CNKSR3,CNKSR family member 3 [Source:UniProtKB Gene Name;Acc:A0A8C0SXL6],ENSCAFG00845000205
476364,CHMP2A,charged multivesicular body protein 2A [Source:UniProtKB Gene Name;Acc:A0A8I3MUN9],ENSCAFG00845000206
100856702,,,ENSCAFG00845000207
611742,ZNF565,zinc finger protein 565 [Source:UniProtKB Gene Name;Acc:A0A8C0Z1J2],ENSCAFG00845000208
476494,WDR88,WD repeat domain 88 [Source:UniProtKB Gene Name;Acc:A0A8I3MHB3],ENSCAFG00845000209
478005,CDC123,cell division cycle 123 [Source:UniProtKB Gene Name;Acc:A0A8C0Q6P0],ENSCAFG00845000210
100686346,ZNF667,zinc finger protein 667 [Source:UniProtKB Gene Name;Acc:A0A8I3MA79],ENSCAFG00845000211
100687632,ZNF667,zinc finger protein 667 [Source:UniProtKB Gene Name;Acc:A0A8I3MA79],ENSCAFG00845000211
479143,PJA2,praja ring finger ubiquitin ligase 2 [Source:UniProtKB Gene Name;Acc:A0A8C0YUT1],ENSCAFG00845000212
608955,TMEM129,"transmembrane protein 129, E3 ubiquitin ligase [Source:UniProtKB Gene Name;Acc:A0A8I3MJZ8]",ENSCAFG00845000213
489397,,,ENSCAFG00845000214
479457,MSANTD4,Myb/SANT DNA binding domain containing 4 with coiled-coils [Source:UniProtKB Gene Name;Acc:A0A8C0MUE7],ENSCAFG00845000215
610236,CARTPT,CART prepropeptide [Source:UniProtKB Gene Name;Acc:A0A8C0QHC6],ENSCAFG00845000216
102155291,MAP10,microtubule associated protein 10 [Source:VGNC Symbol;Acc:VGNC:111562],ENSCAFG00845000217
119869924,,,ENSCAFG00845000218
612614,COX7A1,cytochrome c oxidase subunit 7A1 [Source:UniProtKB Gene Name;Acc:A0A8C0T184],ENSCAFG00845000219
489398,ZBTB16,zinc finger and BTB domain containing 16 [Source:UniProtKB Gene Name;Acc:A0A8I3MAD6],ENSCAFG00845000220
119870575,,,ENSCAFG00845000221
489369,CBL,Cbl proto-onco [Source:UniProtKB Gene Name;Acc:A0A8P0TCM4],ENSCAFG00845000222
403689,TRIM28,tripartite motif containing 28 [Source:UniProtKB Gene Name;Acc:A0A8C0LTK2],ENSCAFG00845000223
476416,,,ENSCAFG00845000224
,,,ENSCAFG00845000225
478092,MAP1B,microtubule associated protein 1B [Source:UniProtKB Gene Name;Acc:A0A8I3MEY0],ENSCAFG00845000226
,MIR9-3,microRNA 9-3 [Source:HGNC Symbol;Acc:HGNC:31646],ENSCAFG00845000227
,,,ENSCAFG00845000228
,,,ENSCAFG00845000229
106558934,ZNF583,zinc finger protein 583 [Source:UniProtKB Gene Name;Acc:A0A8I3MK07],ENSCAFG00845000230
,,,ENSCAFG00845000231
,,,ENSCAFG00845000232
607652,WDR37,WD repeat domain 37 [Source:UniProtKB Gene Name;Acc:A0A8I3RQP6],ENSCAFG00845000233
,CPLX2,histamine receptor H2 [Source:UniProtKB Gene Name;Acc:A0A8C0T4U8],ENSCAFG00845000234
,,,ENSCAFG00845000235
,,,ENSCAFG00845000236
,,,ENSCAFG00845000237
119869848,U6,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],ENSCAFG00845000238
484470,PHLDB3,pleckstrin homology like domain family B member 3 [Source:UniProtKB Gene Name;Acc:A0A8I3MHH2],ENSCAFG00845000239
487429,DDI2,DNA damage inducible 1 homolog 2 [Source:UniProtKB Gene Name;Acc:A0A8I3MK23],ENSCAFG00845000240
,,,ENSCAFG00845000241
100684763,ENTREP2,endosomal transmembrane epsin interactor 2 [Source:UniProtKB Gene Name;Acc:A0A8I3MK16],ENSCAFG00845000242
,,,ENSCAFG00845000243
,,,ENSCAFG00845000244
119872061,,,ENSCAFG00845000245
489399,HTR3A,5-hydroxytryptamine receptor 3A [Source:NCBI gene (formerly Entrezgene);Acc:489399],ENSCAFG00845000246
484386,HRC,histidine rich calcium binding protein [Source:UniProtKB Gene Name;Acc:A0A8I3MFN4],ENSCAFG00845000247
,,,ENSCAFG00845000248
119869885,U6,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],ENSCAFG00845000249
,,,ENSCAFG00845000250
106558969,EDDM13,epididymal protein 13 [Source:UniProtKB Gene Name;Acc:A0A8C0QFZ7],ENSCAFG00845000251
119869959,U6,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],ENSCAFG00845000252
,,,ENSCAFG00845000253
104795021,MIR8873B,microRNA mir-8873b [Source:NCBI gene (formerly Entrezgene);Acc:104795021],ENSCAFG00845000254
,,,ENSCAFG00845000255
476285,TRMT11,tRNA methyltransferase 11 homolog [Source:UniProtKB Gene Name;Acc:A0A8I3MAB5],ENSCAFG00845000256
476284,TRMT11,tRNA methyltransferase 11 homolog [Source:UniProtKB Gene Name;Acc:A0A8I3MAB5],ENSCAFG00845000256
476495,GPATCH1,G-patch domain containing 1 [Source:UniProtKB Gene Name;Acc:A0A8I3MHD2],ENSCAFG00845000257
,,,ENSCAFG00845000258
100683773,CCDC153,dynein regulatory complex subunit 12 homolog [Source:UniProtKB Gene Name;Acc:A0A8P0SQ89],ENSCAFG00845000259
,,,ENSCAFG00845000260
488810,SLBP,stem-loop histone mRNA binding protein [Source:UniProtKB Gene Name;Acc:A0A8I3MAD0],ENSCAFG00845000261
,,,ENSCAFG00845000262
483960,,,ENSCAFG00845000263
,,,ENSCAFG00845000264
,,,ENSCAFG00845000265
489204,ARL15,ARF like GTPase 15 [Source:UniProtKB Gene Name;Acc:A0A8I3RQP8],ENSCAFG00845000266
478006,NUDT5,nudix hydrolase 5 [Source:UniProtKB Gene Name;Acc:A0A8C0Q1C2],ENSCAFG00845000267
,,,ENSCAFG00845000268
119869905,SNORA70,Small nucleolar RNA SNORA70 [Source:RFAM;Acc:RF00156],ENSCAFG00845000269
,,,ENSCAFG00845000270
106557757,TEX46,testis expressed 46 [Source:UniProtKB Gene Name;Acc:A0A8C0M081],ENSCAFG00845000271
100686431,,,ENSCAFG00845000272
610387,MRPS27,mitochondrial ribosomal protein S27 [Source:UniProtKB Gene Name;Acc:A0A8I3MAA0],ENSCAFG00845000273
,,,ENSCAFG00845000274
106559928,GALR1,galanin receptor 1 [Source:UniProtKB Gene Name;Acc:A0A8C0PJJ2],ENSCAFG00845000275
,,,ENSCAFG00845000276
,,,ENSCAFG00845000277
611746,CAPNS1,calpain small subunit 1 [Source:UniProtKB Gene Name;Acc:A0A8I3RP16],ENSCAFG00845000278
489427,GRIA4,glutamate ionotropic receptor AMPA type subunit 4 [Source:UniProtKB Gene Name;Acc:A0A8I3MK44],ENSCAFG00845000279
483961,MC4R,melanocortin 4 receptor [Source:NCBI gene (formerly Entrezgene);Acc:483961],ENSCAFG00845000280
487430,AGMAT,agmatinase (putative) [Source:UniProtKB Gene Name;Acc:A0A8C0QB28],ENSCAFG00845000281
,,,ENSCAFG00845000282
100687656,LACTBL1,lactamase beta like 1 [Source:UniProtKB Gene Name;Acc:A0A8I3MFS1],ENSCAFG00845000283
102151546,GALP,galanin like peptide [Source:UniProtKB Gene Name;Acc:A0A8I3MAE1],ENSCAFG00845000284
,,,ENSCAFG00845000285
484387,PPFIA3,PTPRF interacting protein alpha 3 [Source:UniProtKB Gene Name;Acc:A0A8I3MAB6],ENSCAFG00845000286
403518,RHPN2,rhophilin Rho GTPase binding protein 2 [Source:NCBI gene (formerly Entrezgene);Acc:403518],ENSCAFG00845000287
489490,PFAS,phosphoribosylformylglycinamidine synthase [Source:UniProtKB Gene Name;Acc:A0A8C0LUR5],ENSCAFG00845000288
611236,HTR3B,5-hydroxytryptamine receptor 3B [Source:UniProtKB Gene Name;Acc:A0A8I3MAG0],ENSCAFG00845000289
,,,ENSCAFG00845000290
,,,ENSCAFG00845000291
,,,ENSCAFG00845000292
,,,ENSCAFG00845000293
102153271,SCAF8,SR-related CTD associated factor 8 [Source:UniProtKB Gene Name;Acc:A0A8I3MK72],ENSCAFG00845000294
479040,RHCG,Rh family C glycoprotein [Source:NCBI gene (formerly Entrezgene);Acc:479040],ENSCAFG00845000295
,,,ENSCAFG00845000296
100687634,IDI1,isopentenyl-diphosphate delta isomerase 1 [Source:UniProtKB Gene Name;Acc:A0A8C0RW74],ENSCAFG00845000297
,,,ENSCAFG00845000298
119869864,U6,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],ENSCAFG00845000299
,,,ENSCAFG00845000300
,,,ENSCAFG00845000301
610722,FAM53A,family with sequence similarity 53 member A [Source:UniProtKB Gene Name;Acc:A0A8P0SJI9],ENSCAFG00845000302
,,,ENSCAFG00845000303
100502558,PMAIP1,phorbol-12-myristate-13-acetate-induced protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:100502558],ENSCAFG00845000304
,Metazoa_SRP,Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017],ENSCAFG00845000305
119869866,U6,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],ENSCAFG00845000306
611205,ZNF444,zinc finger protein 444 [Source:UniProtKB Gene Name;Acc:A0A8C0RAJ6],ENSCAFG00845000307
608675,ZBTB45,zinc finger and BTB domain containing 45 [Source:UniProtKB Gene Name;Acc:A0A8C0LXT2],ENSCAFG00845000308
484222,ZBTB45,zinc finger and BTB domain containing 45 [Source:UniProtKB Gene Name;Acc:A0A8C0LXT2],ENSCAFG00845000308
,,,ENSCAFG00845000309
403812,HRH2,histamine receptor H2 [Source:NCBI gene (formerly Entrezgene);Acc:403812],ENSCAFG00845000310
,,,ENSCAFG00845000311
,U4,U4 spliceosomal RNA [Source:RFAM;Acc:RF00015],ENSCAFG00845000312
,,,ENSCAFG00845000313
,,,ENSCAFG00845000314
487431,DNAJC16,DnaJ heat shock protein family (Hsp40) member C16 [Source:UniProtKB Gene Name;Acc:A0A8C0NGF5],ENSCAFG00845000315
488969,SIPA1L2,signal induced proliferation associated 1 like 2 [Source:UniProtKB Gene Name;Acc:A0A8P0SGP5],ENSCAFG00845000316
100856537,NKX1-1,NK1 homeobox 1 [Source:UniProtKB Gene Name;Acc:A0A8I3MC72],ENSCAFG00845000317
,,,ENSCAFG00845000318
609157,GNAO1,G protein subunit alpha o1 [Source:UniProtKB Gene Name;Acc:A0A8C0SQL9],ENSCAFG00845000319
610585,NHERF4,NHERF family PDZ scaffold protein 4 [Source:UniProtKB Gene Name;Acc:A0A8P0PKD9],ENSCAFG00845000320
478021,GTPBP4,GTP binding protein 4 [Source:UniProtKB Gene Name;Acc:A0A8C0PY26],ENSCAFG00845000321
,,,ENSCAFG00845000322
487380,EPHB2,EPH receptor B2 [Source:UniProtKB Gene Name;Acc:A0A8I3RP21],ENSCAFG00845000323
119872117,U6,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],ENSCAFG00845000324
,,,ENSCAFG00845000325
,,,ENSCAFG00845000326
100855910,CENPW,centromere protein W [Source:UniProtKB Gene Name;Acc:A0A8I3RQR0],ENSCAFG00845000327
479335,NDUFS4,NADH:ubiquinone oxidoreductase subunit S4 [Source:UniProtKB Gene Name;Acc:A0A8I3RP18],ENSCAFG00845000328
